,Date,P_SUM
226,2022-06-28T02:24:00Z,88442.18519423142
227,2022-06-28T02:25:00Z,89770.39550765353
228,2022-06-28T02:26:00Z,98149.32881775589
229,2022-06-28T02:27:00Z,92627.67904561562
230,2022-06-28T02:28:00Z,100742.94079566954
231,2022-06-28T02:29:00Z,96619.57854684413
232,2022-06-28T02:30:00Z,98111.89136317407
233,2022-06-28T02:31:00Z,103987.13579584398
234,2022-06-28T02:32:00Z,101557.4041312158
235,2022-06-28T02:33:00Z,110108.89961452589
236,2022-06-28T02:34:00Z,105710.64755805708
237,2022-06-28T02:35:00Z,100525.66761762982
238,2022-06-28T02:36:00Z,103752.83118453568
239,2022-06-28T02:37:00Z,112234.01146891895
240,2022-06-28T02:38:00Z,119113.88711065204
241,2022-06-28T02:39:00Z,110657.57343729855
242,2022-06-28T02:40:00Z,106539.44578305693
243,2022-06-28T02:41:00Z,112137.42085036126
244,2022-06-28T02:42:00Z,102751.5036310642
245,2022-06-28T02:43:00Z,110791.47744347823
246,2022-06-28T02:44:00Z,120058.14427698348
247,2022-06-28T02:45:00Z,109957.67379852012
248,2022-06-28T02:46:00Z,107605.47051268493
249,2022-06-28T02:47:00Z,112173.42837502305
250,2022-06-28T02:48:00Z,123131.93596883642
251,2022-06-28T02:49:00Z,115742.42369093157
252,2022-06-28T02:50:00Z,112657.6615527841
253,2022-06-28T02:51:00Z,110446.29739152674
254,2022-06-28T02:52:00Z,117135.47324555101
255,2022-06-28T02:53:00Z,120877.54501186263
256,2022-06-28T02:54:00Z,110777.61836578332
257,2022-06-28T02:55:00Z,119330.72805004755
258,2022-06-28T02:56:00Z,107076.681330637
259,2022-06-28T02:57:00Z,109078.12087791241
260,2022-06-28T02:58:00Z,124953.57205671594
261,2022-06-28T02:59:00Z,104877.59047688245
262,2022-06-28T03:00:00Z,108287.23907913547
263,2022-06-28T03:01:00Z,111882.20746382633
264,2022-06-28T03:02:00Z,105395.30667008426
265,2022-06-28T03:03:00Z,131753.4885385779
266,2022-06-28T03:04:00Z,129747.40978507801
267,2022-06-28T03:05:00Z,98219.27896711613
268,2022-06-28T03:06:00Z,107697.8124199533
269,2022-06-28T03:07:00Z,109362.20261701402
270,2022-06-28T03:08:00Z,110382.44264704818
271,2022-06-28T03:09:00Z,130557.18934342769
272,2022-06-28T03:10:00Z,95885.39235511958
273,2022-06-28T03:11:00Z,111959.6708155667
274,2022-06-28T03:12:00Z,126291.38491999263
275,2022-06-28T03:13:00Z,104611.33922868542
276,2022-06-28T03:14:00Z,119122.38206959354
277,2022-06-28T03:15:00Z,114567.20756346629
278,2022-06-28T03:16:00Z,111558.85803302165
279,2022-06-28T03:17:00Z,106291.81677940991
280,2022-06-28T03:18:00Z,114349.87468028108
281,2022-06-28T03:19:00Z,112868.85362038836
282,2022-06-28T03:20:00Z,129147.75259100091
283,2022-06-28T03:21:00Z,110250.23000947584
284,2022-06-28T03:22:00Z,113863.55032564014
285,2022-06-28T03:23:00Z,117272.71840872725
286,2022-06-28T03:24:00Z,102391.15904746181
287,2022-06-28T03:25:00Z,105988.29012215967
288,2022-06-28T03:26:00Z,131029.44640075754
289,2022-06-28T03:27:00Z,99229.5382592708
290,2022-06-28T03:28:00Z,126684.71759576748
291,2022-06-28T03:29:00Z,106041.04352651117
292,2022-06-28T03:30:00Z,113619.84356754238
293,2022-06-28T03:31:00Z,109930.85870424517
294,2022-06-28T03:32:00Z,103956.08213516515
295,2022-06-28T03:33:00Z,110868.53865861165
296,2022-06-28T03:34:00Z,117575.95108134756
297,2022-06-28T03:35:00Z,100994.00326095852
298,2022-06-28T03:36:00Z,113240.52912774748
299,2022-06-28T03:37:00Z,132124.03330698312
300,2022-06-28T03:38:00Z,97309.39017805274
301,2022-06-28T03:39:00Z,132487.08366599263
302,2022-06-28T03:40:00Z,96296.6159521634
303,2022-06-28T03:41:00Z,111860.99916501455
304,2022-06-28T03:42:00Z,116258.8703725049
305,2022-06-28T03:43:00Z,127966.36604484629
306,2022-06-28T03:44:00Z,103982.97320755698
307,2022-06-28T03:45:00Z,96883.6931556606
308,2022-06-28T03:46:00Z,106444.00003976894
